Ind_ID,tape,Site_name,mass_day10,purge_time_1,day10,cohort_date,cohort_day,Host,Li.cor_1,rando_assign,uniqueID
1,white,Milford,9.1,13:43,9/13/17,9/3/17,11,Apple,7000,genetic control,11w1
4,white,Grant,5.984,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w4
6,white,Grant,8.392,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w6
7,white,Grant,8.208,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w7
12,white,Grant,4.227,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w12
17,white,Grant,4.574,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w17
18,white,Grant,11.178,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w18
19,white,Milford,8.474,,9/13/17,9/3/17,11,Haw,7000,genetic control,11w19
21,white,Ferris,9.277,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w21
22,white,Grant,6.783,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w22
23,white,Ferris,10.419,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w23
24,white,Grant,4.604,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w24
27,white,MSU,7.466,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w27
29,white,Grant,7.587,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w29
31,white,Grant,5.897,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w31
32,white,Blank,NA,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w32
35,white,Milford,12.501,,9/13/17,9/3/17,11,Haw,7000,genetic control,11w35
45,white,Grant,7.912,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w45
50,white,Grant,6.179,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w50
51,white,Ferris,8.708,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w51
57,white,Milford,9.487,,9/13/17,9/3/17,11,Haw,7000,genetic control,11w57
58,white,Grant,7.921,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w58
61,white,Grant,5.758,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w61
64,white,Ferris,3.979,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w64
68,white,Grant,5.255,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w68
70,white,Ferris,7.062,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w70
71,white,,NA,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w71
73,white,,NA,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w73
74,white,,NA,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w74
75,white,,NA,,9/13/17,9/3/17,11,Apple,7000,genetic control,11w75
1,orange,Ferris,6.559,14:04,9/13/17,9/3/17,11,Apple,6262,genetic control,11o1
6,orange,MSU,7.268,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o6
7,orange,Grant,5.298,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o7
8,orange,Ferris,9.792,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o8
12,orange,Grant,6.899,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o12
13,orange,Ferris,10.284,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o13
15,orange,Ferris,5.465,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o15
20,orange,Milford,5.759,,9/13/17,9/3/17,11,Haw,6262,genetic control,11o20
25,orange,Ferris,6.087,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o25
27,orange,Milford,10.807,,9/13/17,9/3/17,11,Haw,6262,genetic control,11o27
29,orange,Grant,6.968,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o29
32,orange,Grant,7.467,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o32
33,orange,Ferris,7.565,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o33
35,orange,Grant,7.017,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o35
36,orange,Ferris,6.482,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o36
42,orange,Grant,7.582,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o42
44,orange,Grant,5.463,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o44
45,orange,Grant,6.386,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o45
48,orange,Ferris,5.737,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o48
49,orange,Grant,10.109,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o49
55,orange,Grant,6.664,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o55
59,orange,Grant,9.287,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o59
61,orange,Ferris,12.379,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o61
63,orange,Grant,5.553,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o63
64,orange,Ferris,3.234,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o64
65,orange,Grant,8.375,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o65
67,orange,Ferris,5.679,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o67
68,orange,Grant,8.004,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o68
70,orange,Blank,NA,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o70
71,orange,Blank,NA,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o71
72,orange,,NA,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o72
73,orange,,NA,,9/13/17,9/3/17,11,Apple,6262,genetic control,11o73