Ind_ID,tape,Site_name,mass_day10,purge_time_1,purge1,collection_date,day10,cohort_date,cohort_day,Host
1,red,OG,6.447,14:37,,2018-08-29,,2018-09-09,10,Apple
2,red,OG,4.375,,,2018-08-29,,2018-09-09,10,Apple
3,red,OG,6.56,,,2018-08-29,,2018-09-09,10,Apple
4,red,OG,3.336,,,2018-08-29,,2018-09-09,10,Apple
5,red,OG,7.077,,,2018-08-29,,2018-09-09,10,Apple
6,red,OG,4.395,,,2018-08-29,,2018-09-09,10,Apple
7,red,OG,4.182,,,2018-08-29,,2018-09-09,10,Apple
8,red,OG,5.44,,,2018-08-29,,2018-09-09,10,Apple
9,red,OG,4.144,,,2018-08-29,,2018-09-09,10,Apple
10,red,OG,6.103,,,2018-08-29,,2018-09-09,10,Apple
11,red,OG,6.897,,,2018-08-29,,2018-09-09,10,Apple
12,red,OG,3.607,,,2018-08-29,,2018-09-09,10,Apple
13,red,OG,7.378,,,2018-08-29,,2018-09-09,10,Apple
14,red,OG,8.093,,,2018-08-29,,2018-09-09,10,Apple
15,red,OG,5.796,,,2018-08-29,,2018-09-09,10,Apple
16,red,OG,3.478,,,2018-08-29,,2018-09-09,10,Apple
17,red,OG,5.136,,,2018-08-29,,2018-09-09,10,Apple
18,red,OG,4.428,,,2018-08-29,,2018-09-09,10,Apple
19,red,OG,4.271,,,2018-08-29,,2018-09-09,10,Apple
20,red,OG,2.825,,,2018-08-29,,2018-09-09,10,Apple
21,red,OG,6.311,,,2018-08-29,,2018-09-09,10,Apple
22,red,OG,4.547,,,2018-08-29,,2018-09-09,10,Apple
23,red,OG,4.317,,,2018-08-29,,2018-09-09,10,Apple
24,red,OG,6.559,,,2018-08-29,,2018-09-09,10,Apple
25,red,OG,4.633,,,2018-08-29,,2018-09-09,10,Apple
26,red,OG,4.915,,,2018-08-29,,2018-09-09,10,Apple
27,red,OG,6.541,,,2018-08-29,,2018-09-09,10,Apple
28,red,OG,2.314,,,2018-08-29,,2018-09-09,10,Apple
29,red,OG,3.299,,,2018-08-29,,2018-09-09,10,Apple
30,red,OG,4.587,,,2018-08-29,,2018-09-09,10,Apple
31,red,OG,3.984,,,2018-08-29,,2018-09-09,10,Apple
32,red,OG,5.341,,,2018-08-29,,2018-09-09,10,Apple
33,,OG,2.52,,,2018-08-29,,2018-09-09,10,Apple
34,red,OG,5.559,,,2018-08-29,,2018-09-09,10,Apple
35,red,OG,4.34,,,2018-08-29,,2018-09-09,10,Apple
36,red,OG,4.368,,,2018-08-29,,2018-09-09,10,Apple
37,red,OG,4.521,,,2018-08-29,,2018-09-09,10,Apple
38,red,OG,2.616,,,2018-08-29,,2018-09-09,10,Apple
39,red,OG,5.083,,,2018-08-29,,2018-09-09,10,Apple
46,red,Blank,,,,2018-08-29,,2018-09-09,10,Apple
47,red,Blank,,14:45,,2018-08-29,,2018-09-09,10,Apple
1,orange,MSU,6.124,14:25,,2018-08-29,,2018-09-09,10,Apple
2,orange,MSU,8.345,,,2018-08-29,,2018-09-09,10,Apple
3,orange,MSU,6.553,,,2018-08-29,,2018-09-09,10,Apple
4,orange,OG,3.868,,,2018-08-16,,2018-09-09,25,Apple
5,orange,OG,4.228,,,2018-08-29,,2018-09-09,10,Apple
6,orange,OG,7.64,,,2018-08-29,,2018-09-09,10,Apple
7,orange,OG,8.894,,,2018-08-29,,2018-09-09,10,Apple
8,orange,OG,7.108,,,2018-08-29,,2018-09-09,10,Apple
9,orange,OG,7.213,,,2018-08-29,,2018-09-09,10,Apple
10,orange,OG,8.82,,,2018-08-29,,2018-09-09,10,Apple
11,orange,OG,6.889,,,2018-08-29,,2018-09-09,10,Apple
12,orange,Ferris,10.754,,,2018-08-29,,2018-09-09,10,Apple
13,orange,MSU,9.219,,,2018-08-29,,2018-09-09,10,Apple
14,orange,MSU,9.356,,,2018-08-29,,2018-09-09,10,Apple
15,orange,MSU,6.052,,,2018-08-29,,2018-09-09,10,Apple
16,orange,MSU,8.569,,,2018-08-29,,2018-09-09,10,Apple
17,orange,MSU,8.556,,,2018-08-29,,2018-09-09,10,Apple
18,orange,OG,5.015,,,2018-08-16,,2018-09-09,25,Apple
19,orange,OG,4.906,,,2018-08-29,,2018-09-09,10,Apple
20,orange,OG,7.444,,,2018-08-29,,2018-09-09,10,Apple
21,orange,OG,5.813,,,2018-08-29,,2018-09-09,10,Apple
22,orange,OG,2.736,,,2018-08-29,,2018-09-09,10,Apple
23,orange,MSU,5.647,,,2018-08-29,,2018-09-09,10,Apple
24,orange,OG,6.902,,,2018-08-29,,2018-09-09,10,Apple
25,orange,OG,4.997,,,2018-08-29,,2018-09-09,10,Apple
26,orange,OG,3.862,,,2018-08-29,,2018-09-09,10,Apple
27,orange,Ferris,7.477,,,2018-08-29,,2018-09-09,10,Apple
28,orange,MSU,7.116,,,2018-08-29,,2018-09-09,10,Apple
29,orange,MSU,7.492,,,2018-08-29,,2018-09-09,10,Apple
30,orange,MSU,6.454,,,2018-08-29,,2018-09-09,10,Apple
31,orange,MSU,7,,,2018-08-29,,2018-09-09,10,Apple
32,orange,MSU,6.893,,,2018-08-29,,2018-09-09,10,Apple
33,orange,MSU,6.826,,,2018-08-29,,2018-09-09,10,Apple
34,orange,Ferris,4.715,,,2018-08-29,,2018-09-09,10,Apple
35,orange,MSU,5.833,,,2018-08-29,,2018-09-09,10,Apple
36,orange,MSU,6.71,,,2018-08-29,,2018-09-09,10,Apple
37,orange,MSU,2.634,,,2018-08-29,,2018-09-09,10,Apple
38,orange,MSU,8.752,,,2018-08-29,,2018-09-09,10,Apple
39,orange,MSU,8.056,,,2018-08-29,,2018-09-09,10,Apple
40,orange,MSU,6.582,,,2018-08-29,,2018-09-09,10,Apple
41,orange,MSU,6.742,,,2018-08-29,,2018-09-09,10,Apple
42,orange,MSU,4.52,,,2018-08-29,,2018-09-09,10,Apple
43,orange,MSU,3.626,,,2018-08-29,,2018-09-09,10,Apple
44,orange,MSU,6.674,,,2018-08-29,,2018-09-09,10,Apple
45,orange,MSU,7.227,,,2018-08-29,,2018-09-09,10,Apple
46,orange,Blank,,,,2018-08-29,,2018-09-09,10,Apple
47,orange,Blank,,14:36,,2018-08-29,,2018-09-09,10,Apple
