Ind_ID,tape,Site_name,mass_day10,purge_time_1,collection_date,day10,cohort_date,cohort_day,Host
1,blue,MSU,9.83,13:02,2018-09-16,2018-10-03,2018-09-23,3,Haw
2,blue,MSU,10.317,,2018-09-16,2018-10-03,2018-09-23,3,Haw
3,blue,MSU,11.458,,2018-09-16,2018-10-03,2018-09-23,3,Haw
4,blue,MSU,6.914,,2018-09-16,2018-10-03,2018-09-23,3,Haw
5,blue,MSU,4.847,,2018-09-16,2018-10-03,2018-09-23,3,Haw
6,blue,MSU,10.954,,2018-09-16,2018-10-03,2018-09-23,3,Haw
7,blue,MSU,5.385,,2018-09-16,2018-10-03,2018-09-23,3,Haw
8,blue,MSU,10.754,,2018-09-16,2018-10-03,2018-09-23,3,Haw
9,blue,MSU,9.07,,2018-09-16,2018-10-03,2018-09-23,3,Haw
10,blue,MSU,9.065,,2018-09-16,2018-10-03,2018-09-23,3,Haw
11,blue,MSU,11.813,,2018-09-16,2018-10-03,2018-09-23,3,Haw
12,blue,MSU,9.935,,2018-09-16,2018-10-03,2018-09-23,3,Haw
13,blue,MSU,6.492,,2018-09-16,2018-10-03,2018-09-23,3,Haw
14,blue,MSU,5.04,,2018-09-16,2018-10-03,2018-09-23,3,Haw
15,blue,MSU,9.912,,2018-09-16,2018-10-03,2018-09-23,3,Haw
16,blue,MSU,5.826,,2018-09-16,2018-10-03,2018-09-23,3,Haw
17,blue,MSU,11.046,,2018-09-16,2018-10-03,2018-09-23,3,Haw
18,blue,MSU,7.244,,2018-09-16,2018-10-03,2018-09-23,3,Haw
19,blue,MSU,9.836,,2018-09-16,2018-10-03,2018-09-23,3,Haw
20,blue,MSU,7.315,,2018-09-16,2018-10-03,2018-09-23,3,Haw
21,blue,MSU,11.738,,2018-09-16,2018-10-03,2018-09-23,3,Haw
22,blue,MSU,8.636,,2018-09-16,2018-10-03,2018-09-23,3,Haw
23,blue,MSU,9.841,,2018-09-16,2018-10-03,2018-09-23,3,Haw
24,blue,MSU,10.923,,2018-09-16,2018-10-03,2018-09-23,3,Haw
25,blue,MSU,9.323,,2018-09-16,2018-10-03,2018-09-23,3,Haw
26,blue,MSU,8.354,,2018-09-16,2018-10-03,2018-09-23,3,Haw
27,blue,MSU,7.154,,2018-09-16,2018-10-03,2018-09-23,3,Haw
28,blue,MSU,9.908,,2018-09-16,2018-10-03,2018-09-23,3,Haw
29,blue,MSU,11.422,,2018-09-16,2018-10-03,2018-09-23,3,Haw
30,blue,MSU,10.496,,2018-09-16,2018-10-03,2018-09-23,3,Haw
31,blue,MSU,10.4,,2018-09-16,2018-10-03,2018-09-23,3,Haw
32,blue,MSU,7.627,,2018-09-16,2018-10-03,2018-09-23,3,Haw
33,blue,MSU,7.783,,2018-09-16,2018-10-03,2018-09-23,3,Haw
34,blue,MSU,5.405,,2018-09-16,2018-10-03,2018-09-23,3,Haw
35,blue,MSU,12.083,,2018-09-16,2018-10-03,2018-09-23,3,Haw
36,blue,MSU,9.798,,2018-09-16,2018-10-03,2018-09-23,3,Haw
37,blue,MSU,6.565,,2018-09-16,2018-10-03,2018-09-23,3,Haw
38,blue,MSU,7.65,,2018-09-16,2018-10-03,2018-09-23,3,Haw
39,blue,MSU,6.598,,2018-09-16,2018-10-03,2018-09-23,3,Haw
40,blue,MSU,7.475,,2018-09-16,2018-10-03,2018-09-23,3,Haw
41,blue,MSU,7.865,,2018-09-16,2018-10-03,2018-09-23,3,Haw
42,blue,MSU,8.194,,2018-09-16,2018-10-03,2018-09-23,3,Haw
43,blue,MSU,5.967,,2018-09-16,2018-10-03,2018-09-23,3,Haw
44,blue,MSU,9.406,,2018-09-16,2018-10-03,2018-09-23,3,Haw
45,blue,MSU,6.051,,2018-09-16,2018-10-03,2018-09-23,3,Haw
46,blue,Blank,,,2018-09-16,2018-10-03,2018-09-23,3,Haw
47,blue,Blank,,13:12,2018-09-16,2018-10-03,2018-09-23,3,Haw
1,white,MSU,6.506,12:51,2018-09-16,2018-10-03,2018-09-23,3,Haw
2,white,MSU,7.164,,2018-09-16,2018-10-03,2018-09-23,3,Haw
3,white,MSU,7.396,,2018-09-16,2018-10-03,2018-09-23,3,Haw
4,white,MSU,6.747,,2018-09-16,2018-10-03,2018-09-23,3,Haw
5,white,MSU,9.362,,2018-09-16,2018-10-03,2018-09-23,3,Haw
6,white,MSU,5.052,,2018-09-16,2018-10-03,2018-09-23,3,Haw
7,white,MSU,7.812,,2018-09-16,2018-10-03,2018-09-23,3,Haw
8,white,MSU,11.163,,2018-09-16,2018-10-03,2018-09-23,3,Haw
9,white,MSU,7.05,,2018-09-16,2018-10-03,2018-09-23,3,Haw
10,white,MSU,6.819,,2018-09-16,2018-10-03,2018-09-23,3,Haw
11,white,MSU,7.01,,2018-09-16,2018-10-03,2018-09-23,3,Haw
12,white,MSU,8.435,,2018-09-16,2018-10-03,2018-09-23,3,Haw
13,white,MSU,6.118,,2018-09-16,2018-10-03,2018-09-23,3,Haw
14,white,MSU,7.112,,2018-09-16,2018-10-03,2018-09-23,3,Haw
15,white,MSU,7.312,,2018-09-16,2018-10-03,2018-09-23,3,Haw
16,white,MSU,7.031,,2018-09-16,2018-10-03,2018-09-23,3,Haw
17,white,MSU,6.664,,2018-09-16,2018-10-03,2018-09-23,3,Haw
18,white,MSU,10.979,,2018-09-16,2018-10-03,2018-09-23,3,Haw
19,white,MSU,12.342,,2018-09-16,2018-10-03,2018-09-23,3,Haw
20,white,MSU,9.074,,2018-09-16,2018-10-03,2018-09-23,3,Haw
21,white,MSU,8.879,,2018-09-16,2018-10-03,2018-09-23,3,Haw
22,white,MSU,11.736,,2018-09-16,2018-10-03,2018-09-23,3,Haw
23,white,MSU,6.098,,2018-09-16,2018-10-03,2018-09-23,3,Haw
24,white,MSU,9.763,,2018-09-16,2018-10-03,2018-09-23,3,Haw
25,white,MSU,12.084,,2018-09-16,2018-10-03,2018-09-23,3,Haw
26,white,MSU,10.495,,2018-09-16,2018-10-03,2018-09-23,3,Haw
27,white,MSU,10.481,,2018-09-16,2018-10-03,2018-09-23,3,Haw
28,white,MSU,8.594,,2018-09-16,2018-10-03,2018-09-23,3,Haw
29,white,MSU,9.949,,2018-09-16,2018-10-03,2018-09-23,3,Haw
30,white,MSU,10.376,,2018-09-16,2018-10-03,2018-09-23,3,Haw
31,white,MSU,8.701,,2018-09-16,2018-10-03,2018-09-23,3,Haw
32,white,MSU,4.828,,2018-09-16,2018-10-03,2018-09-23,3,Haw
33,white,MSU,5.817,,2018-09-16,2018-10-03,2018-09-23,3,Haw
34,white,MSU,10.479,,2018-09-16,2018-10-03,2018-09-23,3,Haw
35,white,MSU,7.758,,2018-09-16,2018-10-03,2018-09-23,3,Haw
36,white,MSU,10.408,,2018-09-16,2018-10-03,2018-09-23,3,Haw
37,white,MSU,7.277,,2018-09-16,2018-10-03,2018-09-23,3,Haw
38,white,MSU,9.178,,2018-09-16,2018-10-03,2018-09-23,3,Haw
39,white,MSU,6.03,,2018-09-16,2018-10-03,2018-09-23,3,Haw
40,white,MSU,7.592,,2018-09-16,2018-10-03,2018-09-23,3,Haw
41,white,MSU,11.43,,2018-09-16,2018-10-03,2018-09-23,3,Haw
42,white,MSU,6.995,,2018-09-16,2018-10-03,2018-09-23,3,Haw
43,white,MSU,8.673,,2018-09-16,2018-10-03,2018-09-23,3,Haw
44,white,MSU,9.642,,2018-09-16,2018-10-03,2018-09-23,3,Haw
45,white,MSU,6.944,,2018-09-16,2018-10-03,2018-09-23,3,Haw
46,white,Blank,,,2018-09-16,2018-10-03,2018-09-23,3,Haw
47,white,Blank,,13:01,2018-09-16,2018-10-03,2018-09-23,3,Haw