starttime_VCO2_6262_1,area_VCO2_6262_1,n,licor,ind_id,tape
24:11:43,1.089783,1,7000,1,white
24:13:29,0.1054478,2,7000,2,white
24:15:00,0.1443206,3,7000,3,white
24:16:15,0.1263794,4,7000,4,white
24:17:44,0.6061329,5,7000,5,white
24:19:14,0.5236538,6,7000,6,white
24:20:39,6.33E-02,7,7000,7,white
24:21:10,3.90E-02,8,7000,7,white
24:22:13,0.4748264,9,7000,8,white
24:24:05,0.0819971,10,7000,9,white
24:25:39,0.1023522,11,7000,10,white
24:27:27,0.8106879,12,7000,11,white
24:28:59,0.529234,13,7000,12,white
24:30:39,0.1295896,14,7000,13,white
24:32:01,0.104281,15,7000,14,white
24:33:24,0.0755858,16,7000,15,white
24:34:54,5.34E-02,17,7000,16,white
24:36:25,9.36E-02,18,7000,17,white
24:37:44,0.1007284,19,7000,18,white
24:39:07,0.1214513,20,7000,19,white
24:40:38,0.2342609,21,7000,20,white
24:42:00,0.1164326,22,7000,21,white
24:43:24,0.8351452,23,7000,22,white
24:44:48,0.6399549,24,7000,23,white
24:46:17,9.28E-02,25,7000,24,white
24:47:55,1.10E-02,26,7000,25,white
24:49:35,1.09E-02,27,7000,26,white
24:50:41,1.19E-03,28,7000,,
24:11:43,0.7970409,1,6262,1,orange
24:13:29,1.526832,2,6262,2,orange
24:15:00,0.1374362,3,6262,3,orange
24:16:15,1.347847,4,6262,4,orange
24:17:44,0.2503236,5,6262,5,orange
24:19:14,0.1229973,6,6262,6,orange
24:20:39,0.8427432,7,6262,7,orange
24:21:10,0.7948943,8,6262,7,orange
24:22:13,0.1667174,9,6262,8,orange
24:24:05,1.381015,10,6262,9,orange
24:25:39,1.659547,11,6262,10,orange
24:27:27,1.113622,12,6262,11,orange
24:28:59,1.842402,13,6262,12,orange
24:30:39,0.1892692,14,6262,13,orange
24:32:01,0.1909556,15,6262,14,orange
24:33:24,0.883836,16,6262,15,orange
24:34:54,0.903783,17,6262,16,orange
24:36:25,0.2138813,18,6262,17,orange
24:37:44,0.2436844,19,6262,18,orange
24:39:07,1.214806,20,6262,19,orange
24:40:38,0.2106191,21,6262,20,orange
24:42:00,1.330453,22,6262,21,orange
24:43:24,0.2861986,23,6262,22,orange
24:44:48,1.208484,24,6262,23,orange
24:46:17,1.157779,25,6262,24,orange
24:47:55,1.634524,26,6262,25,orange
24:49:35,2.54E-02,27,6262,26,orange
24:50:41,2.42E-02,28,6262,27,orange